C2 IP,Targeted IP,Port,First seen (UTC),Last seen (UTC), Estimated data transfer size (GB) ,Category (Country),Org ID,Rank by volume,Included in article
209.58.189[.]165,xx.xx.xx.115,443,2020-11-27 20:50,2020-12-14 1:43, 389 ,Data storage (US),9,5,
209.58.189[.]165,xx.xx.xx.115,443,2020-12-03 6:05,2020-12-14 1:43, 247 ,Data storage (US),9,8,
138.124.180[.]16,xx.xx.xx.54,80,2020-12-21 11:17,2020-12-21 15:56, 104 ,Energy (US),14,15,
138.124.180[.]16,xx.xx.xx.36,80,2020-12-21 13:20,2020-12-21 15:08, 49 ,Laboratory (US),7,20,
138.124.180[.]16,xx.xx.xx.174,80,2020-12-21 15:09,2020-12-21 18:06, 20 ,Broadcaster (AU),21,29,
138.124.180[.]16,xx.xx.xx.70,80,2020-12-21 16:19,2021-01-15 18:53," 2,192 ",Law firm (US),25,1,*
138.124.180[.]16,xx.xx.xx.45,80,2020-12-21 16:57,2020-12-21 17:23, 22 ,Museum (US),18,27,
138.124.180[.]16,xx.xx.xx.141,80,2020-12-21 16:57,2020-12-21 18:07, 12 ,Security company (US),11,30,
138.124.180[.]16,xx.xx.xx.135,80,2020-12-21 16:57,2020-12-21 17:22, 5 ,Private university (US),6,33,
79.141.160[.]170,xx.xx.xx.45,80,2020-12-21 18:16,2020-12-22 13:09, 43 ,Museum (US),18,24,
79.141.160[.]170,xx.xx.xx.141,80,2020-12-21 18:16,2020-12-22 18:42, 124 ,Security company (US),11,12,
79.141.160[.]170,xx.xx.xx.174,80,2020-12-21 18:26,2020-12-22 18:48, 158 ,Broadcaster (AU),21,10,
155.94.160[.]40,xx.xx.xx.53,80,2020-12-21 19:25,2020-12-22 22:49, 51 ,Transportation (US),24,19,
194.88.104[.]24,xx.xx.xx.141,80,2020-12-23 15:26,2020-12-24 9:42, 199 ,Security company (US),11,9,*
194.88.104[.]24,xx.xx.xx.174,80,2020-12-23 15:26,2020-12-24 10:04, 132 ,Broadcaster (AU),21,11,
194.88.104[.]24,xx.xx.xx.135,80,2020-12-23 15:31,2020-12-23 16:56, 5 ,Private university (US),6,32,*
79.141.162[.]82,xx.xx.xx.53,80,2020-12-23 15:53,2020-12-24 15:18, 480 ,Transportation (US),24,3,
79.141.162[.]82,xx.xx.xx.25,80,2020-12-23 15:53,2020-12-24 2:11, 70 ,Utility (US),23,16,
79.141.162[.]82,xx.xx.xx.75,80,2020-12-23 15:53,2020-12-23 23:10, 110 ,Private university (US),5,14,
194.88.104[.]24,xx.xx.xx.129,443,2020-12-24 14:51,2020-12-24 18:37, 10 ,State university (US),3,31,
194.88.104[.]24,xx.xx.xx.15,443,2020-12-24 14:52,2020-12-29 16:30, 269 ,Grocery chain (US),10,6,*
192.154.253[.]120,xx.xx.xx.243,443,2020-12-24 17:01,2020-12-25 11:04, 1 ,Hospital (US),12,35,
192.154.253[.]120,xx.xx.xx.81,443,2020-12-24 17:02,2020-12-24 23:01, 261 ,Medical (US),26,7,
192.154.253[.]120,xx.xx.xx.50,443,2020-12-24 17:02,2020-12-26 5:28, 0.3 ,Government agency (AU),8,38,*
192.154.253[.]120,xx.xx.xx.88,443,2020-12-24 17:04,2020-12-24 17:30, 0.02 ,Automotive (BE),16,40,
192.154.253[.]120,xx.xx.xx.83,443,2020-12-24 17:04,2020-12-24 17:12, 0.2 ,Security company (US),17,39,
79.141.162[.]82,xx.xx.xx.17,443,2020-12-24 18:25,2020-12-28 22:48, 1 ,Aeronautics (CA),30,36,
194.88.104[.]24,xx.xx.xx.112,443,2020-12-25 9:37,2020-12-26 4:49, 508 ,Government agency (US),22,2,*
194.88.104[.]24,xx.xx.xx.122,443,2020-12-25 9:39,2020-12-25 12:42, 47 ,Transportation (US),29,22,*
194.88.104[.]24,xx.xx.xx.123,443,2020-12-25 9:40,2020-12-25 12:37, 43 ,Transportation (US),29,25,
194.88.104[.]24,xx.xx.xx.142,443,2020-12-25 9:42,2020-12-25 10:49, 49 ,Medical (US),28,21,
192.154.253[.]120,xx.xx.xx.102,443,2020-12-29 7:56,2020-12-29 12:57, 0.3 ,Government agency (AU),20,37,
192.154.253[.]120,xx.xx.xx.60,443,2020-12-29 8:02,2020-12-29 14:52, 2 ,Law firm (UK),15,34,
194.88.104[.]24,xx.xx.xx.88,443,2021-01-20 10:44,2021-01-20 20:33, 114 ,Technology services (US),1,13,
194.88.104[.]24,xx.xx.xx.162,443,2021-01-20 10:46,2021-01-20 15:45, 412 ,State university (US),4,4,*
194.88.104[.]24,xx.xx.xx.68,443,2021-01-20 10:47,2021-01-20 12:00, 20 ,Private university (US),13,28,*
194.88.104[.]24,xx.xx.xx.95,443,2021-01-20 10:48,2021-01-20 12:13, 54 ,Law firm (US),2,18,*
194.88.104[.]24,xx.xx.xx.81,443,2021-01-20 10:48,2021-01-21 2:46, 55 ,Medical (US),19,17,*
79.141.162[.]82,xx.xx.xx.39,443,2021-01-20 11:14,2021-01-20 12:36, 22 ,Consulting (US),27,26,*
79.141.162[.]82,xx.xx.xx.24,443,2021-01-20 13:37,2021-01-21 12:59, 43 ,Hospital (US),31,23,
